reward,program,class,immersion,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q9_11,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,Q10_10,Q10_11,Q10_12,Q10_13,Q10_14,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q12_11,Q12_12,Q12_13,Q12_14,Q12_15,Q14_1,Q14_2,Q15,Q17,Q19,intl,gender,Q22,pre-MBA,Q24,post-MBA,Q26,duration_min
Credit,other,2022,cust/no,1.0,1.0,,,,,,1.0,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,1.0,,,,,,1.0,1.0,1.0,,,,,,1.0,,1.0,1.0,,1.0,,1.0,,,,,,,5.0,5.0,5.0,5.0,"user friendly surface, customer feedback, quick reload",domestic,Female,,Creative,,Creative,,3.033333333333333
$10,2-year,2020,cust/no,,1.0,,,,,,,1.0,1.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,1.0,,,,,,1.0,1.0,,,1.0,,,,,,,1.0,,,,1.0,,,1.0,,1.0,1.0,5.0,5.0,6.0,4.0,I would have to test the app to provide some additional insight here. I just hope it's user friendly.,international,Female,,Finance,,Finance,,6.8
$10,2-year,2020,cust/no,,1.0,,1.0,1.0,,,,,,5.0,6.0,3.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,6.0,6.0,5.0,5.0,4.0,6.0,,,,1.0,,,1.0,1.0,,1.0,,,,,,,1.0,,,,,,,1.0,1.0,,1.0,1.0,,5.0,5.0,6.0,2.0,"1. Ensure student feedback loops
2. Resumes for those candidates selected to interview vs. those hired
3. PARs associated with companies that use them",domestic,Male,,other,Construction Consultant,Finance,,5.416666666666667
$10,2-year,2020,DTI,,1.0,,,1.0,,,,1.0,,3.0,5.0,6.0,5.0,4.0,4.0,1.0,3.0,4.0,3.0,2.0,2.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,,,,1.0,,,1.0,,,1.0,1.0,,,,,,1.0,,,,,,1.0,,,1.0,1.0,1.0,,6.0,5.0,6.0,6.0,1. Flexibility for Off-campus recruiting 2. Updates based on peer experiences at firms 3. Contact info of Johnson alums at the company,domestic,Male,,other,Data Analytics,Consulting,,5.7
$10,2-year,2020,SSO,1.0,,,,1.0,,,1.0,,,5.0,5.0,6.0,6.0,6.0,7.0,7.0,5.0,6.0,5.0,7.0,7.0,6.0,4.0,5.0,2.0,6.0,3.0,7.0,6.0,7.0,1.0,2.0,,,1.0,,,,,1.0,1.0,,,,1.0,,,1.0,,,,1.0,,,,1.0,,,1.0,,1.0,6.0,6.0,6.0,7.0,"1. Networking step-by-step guide
2. Discussion forum
3. Link to relevant course slides based on interview question",international,Male,,Consulting,,PM,,8.316666666666666
$10,AMBA,2020,IRAM,1.0,,,,,,1.0,,,1.0,6.0,6.0,5.0,6.0,5.0,6.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,6.0,5.0,,1.0,,1.0,1.0,,,,,,,1.0,,,,,1.0,,,,1.0,,,,1.0,,1.0,,1.0,5.0,5.0,5.0,3.0,may consider list the standard answers in align with the company's core value,international,Male,,Consulting,,PE/VC,,8.5
$10,2-year,2020,DTI,1.0,,,,1.0,,,1.0,,,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0,3.0,5.0,6.0,4.0,6.0,4.0,4.0,,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,1.0,,,,1.0,1.0,,1.0,1.0,,6.0,6.0,6.0,5.0,"Desktop features to make inputting data easier, ability to connect with others applying for similar roles in the app so that you could practice in person or over video, Somehow integrate CWG groups/professional club guidance",domestic,Female,,GM,,Consulting,,8.65
$10,2-year,2020,SSO,1.0,,,1.0,1.0,,,,,,6.0,5.0,5.0,5.0,6.0,6.0,7.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,,,,,,1.0,1.0,,,1.0,,,1.0,,,1.0,,1.0,1.0,,,,,,,1.0,,,1.0,4.0,3.0,2.0,1.0,"1. Less is more - there is so much already on the dashboard and there is so much in this app I'm struggling to see what the value add is. 
2. Not an app - I don't work on recruiting things while I'm on my phone. Looking at a resume while on a mobile device sounds terrible.
3. Choose one thing - I'm not sure what the point of this is, but I would be more likely to install an app that was simply ""PAR a day"" and it just gave me a PAR push notification every day and had me input my thoughts.",domestic,Female,,Education,,Consulting,,7.816666666666666
$10,2-year,2020,IB,,,,1.0,,,1.0,1.0,,,7.0,6.0,5.0,5.0,6.0,5.0,5.0,6.0,4.0,6.0,6.0,6.0,4.0,2.0,3.0,2.0,5.0,3.0,2.0,2.0,2.0,2.0,2.0,,1.0,1.0,,1.0,,,,,1.0,,,,,,1.0,,,1.0,1.0,,,1.0,,,,,1.0,,5.0,6.0,5.0,3.0,1) ability to import emails 2) connect with alums in similar field 3)connect with second years who did similar path,domestic,Male,,Finance,,IB,,5.65
$10,2-year,2020,CFI,,1.0,,,,,,1.0,,1.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,7.0,5.0,7.0,6.0,5.0,5.0,2.0,2.0,2.0,6.0,2.0,4.0,2.0,1.0,3.0,6.0,1.0,,,,1.0,,,1.0,,,,,1.0,,,1.0,,,,,,,,1.0,,1.0,1.0,,1.0,6.0,6.0,7.0,6.0,"I would still enforce the fact that this is a supplemental tool, and that it's important to join professional recruiting clubs and network with 2nd years and young alumni",domestic,Male,,Consulting,,Finance,,6.833333333333333
$10,2-year,2020,IB,,,1.0,1.0,,,,1.0,,,6.0,4.0,4.0,5.0,6.0,6.0,6.0,6.0,7.0,6.0,5.0,6.0,3.0,3.0,4.0,4.0,5.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,1.0,,,1.0,,,1.0,,,,,1.0,1.0,,,,,1.0,1.0,,,,,1.0,,7.0,7.0,7.0,4.0,"integrate with professional club timelines (and if an associated cost, have this absorbed in dues); practice ""Hive"" (AI-based) interviews and get feedback for improvement (using AI); have a visual book of all alumni / employees at events on campus so you can bookmark contacts if you didn't catch their names",domestic,Female,,Finance,,IB,,7.5
$10,2-year,2021,SPMI,1.0,,1.0,1.0,,,,,,,5.0,5.0,5.0,6.0,6.0,5.0,4.0,6.0,5.0,5.0,5.0,6.0,6.0,4.0,6.0,3.0,6.0,5.0,7.0,5.0,5.0,5.0,3.0,,,,,1.0,,,1.0,1.0,,1.0,,,,,,1.0,,,,1.0,1.0,,1.0,,1.0,,,,5.0,5.0,6.0,3.0,"Industry overviews with links to alums willing to talk about their experience.
A way to schedule required informational interviews for professional clubs.
",domestic,Male,,other,Beverage Manager (hospitality/wine&spirits),Marketing,,9.216666666666667
$10,2-year,2020,SPMI,1.0,,,1.0,,,,,1.0,,6.0,7.0,7.0,5.0,4.0,6.0,6.0,5.0,5.0,6.0,6.0,4.0,4.0,4.0,6.0,4.0,4.0,4.0,3.0,6.0,3.0,4.0,4.0,1.0,,,,,,1.0,1.0,,1.0,,,,,,1.0,1.0,,,,1.0,1.0,,,,,,1.0,,5.0,5.0,5.0,5.0,"Before uploading the LAMP list, it might be helpful to have a ""search"" or some kind of function to point students in the direction of some companies. Often students are lost when it comes to knowing which companies to even look at.",domestic,Female,,Sales,,PM,,4.883333333333334
$10,AMBA,2020,cust/no,,,1.0,,,1.0,,,,1.0,7.0,6.0,6.0,6.0,5.0,6.0,5.0,7.0,5.0,6.0,6.0,5.0,6.0,6.0,7.0,7.0,6.0,7.0,6.0,6.0,7.0,7.0,7.0,,,1.0,,,,,1.0,,,,,1.0,1.0,,,,,,,1.0,,1.0,,1.0,,1.0,1.0,,6.0,6.0,6.0,5.0,"1. Integrating with resume building services
2. Building virtual events for networking
3. Gamification - collecting points with preparation targets",international,Male,,Marketing,,Marketing,,6.916666666666667
Credit,AMBA,2020,SPMI,1.0,,1.0,,,,,1.0,,,7.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,,,,,,1.0,,,1.0,,1.0,1.0,,,,1.0,,,,,1.0,1.0,,,1.0,1.0,,,,7.0,7.0,7.0,7.0,"1) Customize it according to personal needs
2) Make it updated
3) Make it less reduntant",international,Female,,GM,,Marketing,,15.05
$10,2-year,2020,CFI,1.0,,,,1.0,,,1.0,,,6.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0,1.0,,,1.0,1.0,,,,,,,,1.0,,1.0,,,,,,,,1.0,,,1.0,1.0,1.0,,5.0,5.0,7.0,6.0,"1. Ensure there is good Outlook integration (particularly the calendar functionality)
2. Interactivity--input from CWG
3. Good sharing functionality",domestic,Male,,Sales,,Consulting,,13.516666666666667
$10,2-year,2020,DTI,1.0,,,,1.0,,,1.0,,,6.0,4.0,3.0,4.0,5.0,3.0,5.0,3.0,4.0,5.0,5.0,4.0,5.0,6.0,4.0,6.0,2.0,4.0,2.0,6.0,6.0,4.0,3.0,,,,,,,,1.0,,,1.0,1.0,,1.0,,,1.0,1.0,,,,1.0,,,,,1.0,1.0,,5.0,4.0,5.0,2.0,I don't think the video feature is necessary. I think it's better to let alum/ students to have the option of sharing written experience as well.,domestic,Female,,PM,,PM,,10.616666666666667
Credit,AMBA,2020,cust/no,1.0,,,,,,1.0,1.0,,,5.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,4.0,6.0,6.0,4.0,,,,,1.0,,1.0,1.0,,,,,1.0,,1.0,,,,,,,,1.0,1.0,,1.0,1.0,,,6.0,4.0,6.0,5.0,"1. I would like to see how well all of this would come together. How easy would it be use the app? 
2. Calendar integration
3. More information on alums - how responsive they are? May be add the link to their linkedIn profile.",international,Male,,Operations,,GM,,12.7
$10,2-year,2021,DTI,1.0,,,,,,1.0,,1.0,,5.0,3.0,5.0,5.0,6.0,5.0,6.0,5.0,3.0,4.0,6.0,4.0,6.0,4.0,6.0,5.0,3.0,4.0,6.0,6.0,7.0,6.0,5.0,1.0,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,,,5.0,4.0,5.0,2.0,"- differentiation from professional club resources
- integration with CWGs",domestic,Female,,Operations,,GM,,7.266666666666667
$10,AMBA,2020,cust/no,1.0,,,,,1.0,,,,1.0,4.0,4.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,7.0,5.0,4.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,,1.0,,1.0,,1.0,1.0,,,,,,,,,1.0,,,,,1.0,1.0,1.0,,,,1.0,,5.0,5.0,5.0,5.0,"- Make the home page UI customisable for better logins
- Customisable lamp list fields so that people can add and prioritise based on their requirements
- Recommendation for videos based on the career tracks",international,Male,,Marketing,,Marketing,,15.566666666666666
$10,2-year,2020,SPMI,,1.0,,,1.0,,,1.0,,,6.0,6.0,6.0,6.0,7.0,7.0,6.0,7.0,7.0,7.0,5.0,7.0,4.0,4.0,7.0,4.0,4.0,6.0,4.0,5.0,4.0,4.0,4.0,,,,,,,1.0,1.0,,,,,1.0,1.0,,,1.0,,,1.0,1.0,,1.0,,1.0,,,,,6.0,7.0,7.0,3.0,Allow it to be customized to immersion--I don't need consulting updates from Jacob Lehman that I get on Campus Groups about consulting when I'm not going into consulting.,domestic,Female,,other,Communications/Media,GM,,5.666666666666667
$10,2-year,2020,CFI,1.0,,,,1.0,,,,,1.0,5.0,6.0,6.0,7.0,5.0,7.0,7.0,5.0,5.0,5.0,7.0,5.0,1.0,3.0,4.0,4.0,1.0,1.0,5.0,5.0,5.0,1.0,4.0,,1.0,,1.0,1.0,,,,,,,,1.0,,,1.0,1.0,,,,1.0,1.0,,,,,,,1.0,7.0,7.0,7.0,7.0,"1. Specifically for international students, if would be helpful if the app shows whether the company has sponsored in the past or currently sponsors.
2. It might be difficult, but if the app can show the links to companies' postings that would be useful.",international,Female,,Finance,,Finance,,10.366666666666667
$10,2-year,2020,cust/no,,,,1.0,1.0,,,1.0,,,6.0,7.0,7.0,5.0,5.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,5.0,3.0,2.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,,1.0,1.0,,,,1.0,,,,1.0,,,,1.0,,,,1.0,,,1.0,,,,,1.0,,1.0,4.0,4.0,1.0,1.0,"I wouldn’t really use the app. I think the process of the different features that the app offers (creating a networking contact sheet, researching companies’ mission and vision, etc.) helps you become a better candidate. I think having an app do this for you limits opportunities for students to learn more about themselves and the companies they are recruiting for.",domestic,Female,,Consulting,,Consulting,,10.183333333333334
$10,2-year,2020,DTI,,,,1.0,1.0,,,1.0,,,6.0,5.0,4.0,3.0,6.0,7.0,5.0,6.0,6.0,7.0,6.0,4.0,6.0,6.0,7.0,5.0,5.0,4.0,7.0,4.0,7.0,4.0,6.0,,,,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,1.0,1.0,1.0,,1.0,,,1.0,,7.0,4.0,5.0,1.0,"1. Provide recommendations on how to connect your past experience to a new function/industry.
2. In-app quizzes/surveys that provide recommendations for function/industry and how to learn more.
3. Share pitch with alum to receive feedback from those in the industry.",domestic,Female,,Finance,,PM,,9.4
$10,AMBA,2020,cust/no,,,,,,1.0,1.0,1.0,,,5.0,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,7.0,6.0,6.0,4.0,4.0,4.0,7.0,4.0,7.0,7.0,7.0,7.0,7.0,2.0,,1.0,,,,1.0,,1.0,,,1.0,,,,,1.0,,1.0,1.0,,,,,1.0,,,1.0,,,5.0,5.0,5.0,3.0,I am not sure,international,Male,,PM,,PM,,38.06666666666667
$10,2-year,2020,SPMI,1.0,,,1.0,,,,1.0,,,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0,7.0,6.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,4.0,,,,,,1.0,,1.0,,1.0,,,1.0,,,,,1.0,,,1.0,1.0,,,1.0,,1.0,,,6.0,4.0,5.0,3.0,"Be sure to not just copy areas of other Johnson systems. 
Find additional unique, value-add features such as the saving contacts feature.
Perhaps include tips for approaching real world ambiguous problems; thought starters when tackling a challenge",domestic,Female,,Finance,,Marketing,,7.666666666666667
$10,2-year,2021,cust/no,1.0,,,1.0,,,,1.0,,,5.0,5.0,3.0,5.0,6.0,6.0,6.0,5.0,3.0,5.0,6.0,4.0,5.0,6.0,7.0,5.0,5.0,6.0,5.0,6.0,6.0,2.0,4.0,,1.0,,,,,1.0,1.0,,,,,1.0,,,,1.0,,,,1.0,1.0,,1.0,,,,1.0,,5.0,5.0,6.0,2.0,"1. Integrate with a Johnson current students and alumni LinkedIn group to capture alumni who are not registered in JTS
2. Calendar integration should also include a set of pre-scheduled Outlook reminders once an item is marked ""in progress"" on the set to-do list (example - marks ""email recent alumni at company on LAMP list"" this should generate an automatic Outlook reminder to follow up in 3-5 business days 
3. The app must be compatible across multiple devices: mobile/desktop/laptop/tablet. Must also have two-factor authentication for sign in.",domestic,Female,,Consulting,,Marketing,,9.15
$10,AMBA,2020,cust/no,1.0,1.0,,,,,,1.0,,,5.0,7.0,4.0,6.0,5.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,5.0,6.0,7.0,7.0,4.0,3.0,6.0,5.0,5.0,7.0,3.0,,,,,,,1.0,,,1.0,1.0,1.0,,,,,,1.0,,,,,1.0,,,1.0,1.0,1.0,,6.0,5.0,7.0,5.0,"have industry-specific interview prep material such as for consulting- cases, old ezra interview cards etc.",international,Male,,Finance,,Consulting,,8.516666666666667
$10,2-year,2021,SSO,,,1.0,,,,1.0,1.0,,,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,4.0,7.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,5.0,6.0,7.0,4.0,1.0,,,1.0,,,,1.0,,,,,1.0,,,,,,,,1.0,,1.0,1.0,,,1.0,1.0,,7.0,6.0,6.0,3.0,"Consider long term sustainability/upgradeability
Minimize duplication with other Johnson IT 
Consider ease of use to discover/use other resources
",domestic,Male,,GM,,GM,,6.583333333333333
$10,2-year,2021,IB,1.0,,,,1.0,,,,1.0,,3.0,7.0,1.0,5.0,6.0,5.0,5.0,7.0,7.0,7.0,5.0,5.0,4.0,6.0,6.0,5.0,6.0,6.0,4.0,6.0,4.0,6.0,6.0,,,,,,,1.0,1.0,,1.0,,,1.0,,,,,1.0,,,,1.0,,1.0,1.0,,,1.0,,6.0,5.0,5.0,2.0,I can’t think of many more things to add,domestic,Male,,other,Military Officer,IB,,7.066666666666666
$10,2-year,2020,DTI,,,,1.0,1.0,1.0,,,,,4.0,5.0,6.0,5.0,5.0,5.0,5.0,6.0,5.0,6.0,5.0,5.0,3.0,5.0,6.0,4.0,3.0,5.0,5.0,5.0,6.0,6.0,2.0,,,,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,1.0,5.0,4.0,4.0,3.0,Should be free,international,Female,,Marketing,,other,Retail,7.583333333333333
$10,2-year,2021,CFI,1.0,,,,1.0,,,1.0,,,5.0,6.0,6.0,7.0,4.0,5.0,5.0,5.0,6.0,7.0,4.0,4.0,6.0,5.0,6.0,4.0,5.0,6.0,4.0,5.0,5.0,5.0,4.0,,1.0,1.0,1.0,,,,,,,1.0,,,,,1.0,1.0,,,,,1.0,1.0,,,,,1.0,,6.0,4.0,5.0,1.0,Would not have any video sending/saving features. Too onerous.,domestic,Male,,other,Sales/Ops/Strategy,Consulting,,7.1
$10,2-year,2020,IB,,1.0,,,1.0,,,,1.0,,5.0,6.0,7.0,3.0,3.0,6.0,5.0,6.0,5.0,6.0,6.0,3.0,7.0,6.0,5.0,4.0,5.0,6.0,6.0,6.0,6.0,5.0,4.0,,,1.0,1.0,1.0,,,,,,1.0,,,,,,1.0,,,1.0,,1.0,,,,1.0,,1.0,,5.0,6.0,6.0,3.0,"1) cross-platform making it easier to use across phone, laptop, ipad
2) chatbot functionality to get help and connect with live people
3) make a download or offline functionality",international,Male,,GM,,Finance,,4.233333333333333
$10,2-year,2020,SPMI,1.0,,1.0,,,,,1.0,,,5.0,5.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,3.0,6.0,3.0,6.0,6.0,7.0,7.0,6.0,7.0,6.0,5.0,7.0,1.0,,,,,,,1.0,,,1.0,,1.0,,1.0,,1.0,,,,,,,,,1.0,1.0,1.0,,4.0,5.0,5.0,6.0,Make it very easy to use,domestic,Female,,Education,,HR,,5.55
Credit,2-year,2020,CFI,,,,,1.0,,,1.0,,1.0,7.0,5.0,6.0,7.0,6.0,7.0,7.0,6.0,7.0,7.0,5.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,1.0,,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,1.0,,,,,1.0,1.0,1.0,1.0,,,6.0,6.0,6.0,1.0,Financial modeling step by step feature that can be as dumbed down as showing you where to click,domestic,Male,,other,govt,GM,,7.166666666666667
$10,2-year,2021,SPMI,1.0,,,,,1.0,1.0,,,,5.0,5.0,5.0,6.0,4.0,6.0,6.0,3.0,3.0,3.0,7.0,4.0,2.0,3.0,2.0,6.0,4.0,4.0,6.0,6.0,6.0,3.0,4.0,1.0,,1.0,,,,1.0,,,,1.0,,,,,1.0,,,,1.0,,,1.0,1.0,,,,1.0,,5.0,6.0,6.0,3.0,"1. Industry specific checklists - eg casing for consulting, and potential to schedule pars/case sessions etc. 

2. Freemium content from professional clubs

3. Networking fundamentals and gamified version that shows people they are making progress to motivate people, especially internationals who come from different professional standards where networking is quite often looked down upon.",international,Male,,Engineering,,PM,,11.733333333333333
$10,AMBA,2020,SPMI,,,,1.0,,1.0,,1.0,,,6.0,7.0,4.0,2.0,6.0,2.0,7.0,6.0,7.0,3.0,7.0,2.0,1.0,5.0,7.0,4.0,7.0,6.0,2.0,1.0,7.0,1.0,7.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,5.0,"1. I am juggling among many things (courses, recruiting, and social). Need help with time management or make all the existing processes more efficient
2. Something to improve my mental health or reduce my FOMO
3. Make it a web app, so that it is compatible to all my devices",international,Male,,Engineering,,PM,,37.75
$10,AMBA,2021,cust/no,1.0,1.0,,,,,,1.0,,,7.0,6.0,5.0,6.0,6.0,6.0,7.0,5.0,4.0,4.0,5.0,4.0,7.0,7.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,6.0,4.0,1.0,,,,,,1.0,1.0,,,,,,1.0,,1.0,,1.0,,,,1.0,,,,,1.0,,1.0,6.0,5.0,5.0,2.0,I can't think of any improvements for such a  recruitment app. The description above seems fairly comprehensive.,domestic,Male,,Legal,,Legal,,17.0
