reward,program,class,immersion,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q9_11,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,Q10_10,Q10_11,Q10_12,Q10_13,Q10_14,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q12_11,Q12_12,Q12_13,Q12_14,Q12_15,Q14_1,Q14_2,Q15,Q17,Q19,intl,gender,Q22,pre-MBA,Q24,post-MBA,Q26,duration_min
$10,2-year,2020,DTI,1.0,,,1.0,,,,1.0,,,4.0,5.0,5.0,6.0,6.0,5.0,4.0,5.0,2.0,3.0,5.0,4.0,4.0,6.0,6.0,4.0,3.0,5.0,5.0,7.0,5.0,4.0,3.0,,,1.0,1.0,,,1.0,1.0,,,,,,,,1.0,1.0,,,,1.0,,,1.0,,,1.0,,,7.0,7.0,7.0,6.0,"It seems like some of the materials overwraps with existing data uploaded on each professional club's website (ex: previous interview questions on HTC website) So, it should not be a simple repository that integrate all those scattered information (though it'd be useful) but focus on providing unique values. Having detailed information about how our classmates did their internship would be really helpful for first-years to understand how what they imagined about internship experience at certain company is different from what they imagined. For recording the pitch part, you need to make sure about a quality of feedback they could receive.",international,Male,,GM,,PM,,22.2
$10,2-year,2021,SPMI,1.0,,,,,1.0,,,,1.0,6.0,7.0,6.0,6.0,7.0,6.0,7.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,,1.0,,1.0,,,1.0,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,1.0,,6.0,5.0,7.0,2.0,"1. Business model - I guess not many people interested in paying this service, unless it provides really differentiated content. (As I believe that most of resources are available from each career clubs)
2. Save contact - Feature can include mentoring feature to track progress and give more tailored guidance based on the progress of the recruiting.
3. JTS integration should include J-Pay
",international,Female,,PM,,PM,,13.4
$10,AMBA,2020,IRAM,,1.0,,,,1.0,1.0,,,,4.0,4.0,2.0,4.0,5.0,3.0,7.0,4.0,2.0,4.0,7.0,4.0,4.0,4.0,4.0,6.0,4.0,6.0,6.0,4.0,4.0,4.0,4.0,,,,1.0,1.0,,1.0,,,1.0,,,,,,,,,1.0,1.0,,,1.0,,,,1.0,,1.0,4.0,2.0,1.0,1.0,"I may not be the target market for this app so you may disregard my feedback. It seems that the app addresses 'pain points' on administrative tasks (calendar integration, contact and networking management, keeping track of PARs etc.). Personally, my pain points in off-campus recruiting are in trying to figure out if a company is interested in a Cornell MBA. That comes down to past hiring from the school, company relationships with CMC and if there's a lot of alumni in the company. That information would be more value to me than administrative efficiency",international,Male,,other,Finance,Finance,,13.5
$10,2-year,2020,DTI,1.0,,,,,1.0,,1.0,,,5.0,6.0,3.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,7.0,4.0,3.0,6.0,7.0,5.0,4.0,7.0,6.0,7.0,6.0,5.0,4.0,,,1.0,,1.0,,,1.0,,,1.0,,,,,1.0,,,,1.0,,1.0,1.0,,,,1.0,,,6.0,6.0,7.0,2.0,Machine learning based on individual's preference,international,Female,,Marketing,,Consulting,,7.45
$10,2-year,2021,SPMI,1.0,,,,,,1.0,,1.0,,4.0,5.0,2.0,5.0,4.0,3.0,7.0,4.0,2.0,2.0,6.0,4.0,7.0,7.0,7.0,7.0,4.0,7.0,7.0,7.0,7.0,6.0,4.0,,1.0,,1.0,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,1.0,,1.0,1.0,1.0,4.0,6.0,3.0,1.0,"I would want an import feature, for lamp list, etc.
resume comparison to job posting
scheduler for in person practice with peers/alum",domestic,Male,,Engineering,,PM,,7.216666666666667
$10,AMBA,2020,cust/no,,1.0,,,,,1.0,1.0,,,6.0,7.0,7.0,6.0,7.0,6.0,5.0,5.0,7.0,5.0,6.0,4.0,7.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,4.0,,1.0,,1.0,,,,,1.0,,,,,1.0,,1.0,1.0,,,,,1.0,,,1.0,,,1.0,,6.0,5.0,7.0,5.0,"1) example interview questions / case studies 
2) connect with and hear from students currently recruiting in same industry 
3) company overview and compensation information",domestic,Male,,Sales,,Finance,,7.45
$10,2-year,2020,SSO,,,1.0,,1.0,,,1.0,,,6.0,7.0,6.0,6.0,6.0,7.0,5.0,7.0,6.0,6.0,6.0,7.0,3.0,6.0,6.0,5.0,4.0,5.0,5.0,6.0,7.0,5.0,2.0,,1.0,1.0,,,,,1.0,,,,,1.0,,,1.0,,,1.0,1.0,,,,,,1.0,1.0,,,6.0,6.0,6.0,7.0,"1. More built-in interaction with peers
2. Directory of alum willing to connect
3. Ability for sub-groups to prep for specific industries",domestic,Male,,Finance,,Consulting,,7.616666666666666
$10,2-year,2021,DTI,,,1.0,1.0,1.0,,,,,,6.0,4.0,4.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,6.0,6.0,5.0,5.0,5.0,4.0,6.0,5.0,5.0,7.0,5.0,,1.0,,,1.0,,,,,1.0,,1.0,,,,1.0,,,1.0,1.0,,1.0,,,,,,1.0,,5.0,5.0,5.0,5.0,"Having video tutorials as well
For consulting, integrating with case studies
Better UI for brainstorming/writing down your PARs (right now I use Word)",domestic,Male,,Consulting,,Consulting,,5.566666666666666
Credit,AMBA,2020,cust/no,1.0,,,,,,1.0,1.0,,,5.0,7.0,6.0,5.0,6.0,6.0,6.0,6.0,7.0,5.0,6.0,6.0,7.0,6.0,7.0,5.0,6.0,7.0,6.0,5.0,7.0,7.0,4.0,,1.0,1.0,1.0,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,1.0,1.0,1.0,,,6.0,5.0,7.0,2.0,"Specially for consulting, it would be great of the app could integrate: 
1. Videos of case interview examples recorded by offerees/alums
2. Feedback after previous interviews(either positive or negative; can be posted anonymously) and solutions/suggestions from CMC/alums/peers
3. Case books from other top business schools",international,Female,,Consulting,,Consulting,,32.68333333333333
$10,2-year,2021,IB,1.0,,,1.0,1.0,,,,,,5.0,5.0,4.0,5.0,5.0,3.0,6.0,6.0,7.0,7.0,5.0,4.0,6.0,6.0,5.0,3.0,5.0,2.0,3.0,3.0,4.0,2.0,2.0,,,,,,,1.0,,1.0,,1.0,,1.0,,,,,1.0,,1.0,1.0,1.0,,,1.0,,,,,5.0,6.0,6.0,1.0,"1) have an algorithm to pair you with a second year who went through a similar recruiting process based on background
2)have an algorithm to pair you with first years currently going through a similar recruiting process
3) have a suggested company list based on interest/background",domestic,Female,,other,business development,IB,,6.166666666666667
$10,2-year,2020,DTI,1.0,,,1.0,1.0,,,,,,5.0,6.0,6.0,6.0,5.0,6.0,7.0,5.0,4.0,5.0,6.0,5.0,4.0,5.0,5.0,4.0,2.0,2.0,5.0,6.0,7.0,4.0,2.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,1.0,1.0,1.0,5.0,5.0,5.0,5.0,"- Check off milestones
- Edit responses from networking emails
- Show progress against other users for the same companies",domestic,Female,,Sales,,GM,,7.7
$10,2-year,2021,DTI,1.0,,,,1.0,,,1.0,,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,,,1.0,,,,,,1.0,1.0,,,1.0,,,1.0,1.0,,1.0,,,,1.0,,,,,,1.0,7.0,6.0,6.0,6.0,"1) Someone to help with cover letter
2) Proofreading you resume 
3) Job openings",international,Female,,Entrepreneurship,,Finance,,15.383333333333333
$10,AMBA,2020,cust/no,1.0,,,,,1.0,,1.0,,,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,1.0,,,,1.0,,,1.0,,,,,1.0,,,,1.0,,,,,,1.0,1.0,1.0,,1.0,,,6.0,6.0,6.0,2.0,"1. This offers a lot of features. It should be easy to navigate and should be intuitive to users to navigate
2. Details of which alums are willing to talk, their general dates/times of availability and how they would like to be approached (calender invite/text message, Linkedin etc)
3. List of companies that recruited by year - with industry, function and whether they are hiring international students (sponser H1B)",international,Male,,Finance,,Finance,,14.783333333333333
$10,2-year,2021,IB,,,1.0,,1.0,,1.0,,,,3.0,3.0,3.0,4.0,5.0,3.0,5.0,2.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,1.0,,,,,,,1.0,,,1.0,,1.0,,,,,,1.0,,,,,1.0,1.0,,1.0,1.0,,4.0,4.0,4.0,5.0,"customize it by industry. IB recruitment for example is structured in who to talk to and when, but what each bank is like and what they look for in candidates differs (besides the technical skills).",domestic,Male,,Finance,,IB,,7.066666666666666
Credit,2-year,2020,DTI,1.0,,,,1.0,,,1.0,,,6.0,5.0,6.0,6.0,6.0,4.0,5.0,5.0,6.0,6.0,5.0,5.0,7.0,5.0,5.0,7.0,6.0,4.0,7.0,6.0,4.0,7.0,5.0,,,1.0,,,,1.0,,,,1.0,,1.0,,,1.0,,,,,,,1.0,,,1.0,1.0,1.0,,5.0,4.0,1.0,1.0,"-How do you make it applicable to all of the diverse industries?
-Gamification (e.g. leader boards, goals and rewards systems) 
-Club integrations (e.g. access to one place for all club resources)",domestic,n/d,,other,IT,Consulting,,10.766666666666667
$10,AMBA,2020,cust/no,1.0,1.0,,,1.0,,,,,,5.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,3.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,1.0,,,,1.0,1.0,,,,,,1.0,,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,6.0,5.0,5.0,1.0,1) Events recommendations for on- or off-campus events that might interest you. 2) News feed for relevant industry news that help bring you up to speed for your industry of interests. 3) See what friends are learning/working on,domestic,Female,,other,Student,GM,,10.183333333333334
$10,2-year,2020,CFI,,1.0,,,1.0,1.0,,,,,6.0,6.0,6.0,6.0,6.0,6.0,7.0,5.0,6.0,6.0,7.0,7.0,6.0,7.0,5.0,5.0,6.0,7.0,7.0,7.0,7.0,4.0,4.0,,,1.0,,,,1.0,1.0,,,,,1.0,,,1.0,,,,,,1.0,1.0,1.0,,,1.0,,,7.0,6.0,7.0,6.0,"1. Have list of alumni from the past 3 years with corresponding contact details per company to know who to reach out to for informational calls
2. Provide sample script for informational calls
3. Include re-recruiting strategies for full time",international,Female,,Finance,,Consulting,,65.38333333333334
$10,AMBA,2020,cust/no,1.0,,,,,,1.0,1.0,,,5.0,6.0,6.0,6.0,5.0,6.0,4.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,5.0,7.0,7.0,7.0,5.0,4.0,4.0,,1.0,1.0,1.0,,,,1.0,,,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,1.0,,6.0,6.0,7.0,7.0,"1.The app can have multiple kinds of users including students, alumni, faulty, etc. For example, students can directly connect with Alumni on this App.
2.The recorded pitch or PARs can be send to career advisors to provide feedback and comments
3.Alumni or even company can post job openings on the app.",international,Male,,other,Digital Solution Manager,tbd,,16.983333333333334
$10,2-year,2021,IRAM,1.0,,,1.0,1.0,,,,,,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,5.0,4.0,2.0,4.0,2.0,6.0,5.0,5.0,2.0,2.0,4.0,,,,1.0,,,1.0,1.0,,,,,1.0,,1.0,,1.0,,,,,1.0,1.0,1.0,,,,,,6.0,5.0,6.0,3.0,"Send reminders when we're behind a certain task on the to-do list
How comprehensive will the step to step guide to connect with companies be? Communication preferences for companies change year on year so will these changes be captured by the app?",international,Female,,Consulting,,Finance,,12.033333333333333
$10,2-year,2020,SSO,,,,,,1.0,1.0,1.0,,,6.0,6.0,5.0,5.0,7.0,4.0,6.0,5.0,4.0,6.0,6.0,5.0,6.0,6.0,5.0,5.0,3.0,6.0,3.0,6.0,5.0,6.0,4.0,,,1.0,,,,1.0,,,,,,1.0,1.0,1.0,,,,1.0,1.0,,,,1.0,,,,1.0,,5.0,7.0,5.0,1.0,"no improvements, but below are 3 areas that i think need to be done correctly
1) user experience + responsiveness- i find JTS very cumbersome and laggy
2)data availability - data in JTS + JPay can be old and outdated (e.g. company contacts); to be relevant to me, the information should be up to date - e.g. send an automated email to company contacts to verify their contact info every 1 year
3)the contact LAMP list sounds like a cool idea, but it sounds pretty involved / ambitious - it's essentially a Customer Relationship Management (CRM) tool - i would try to repurpose something rather than build from scratch and /or make an Excel template that you can download to start with.",international,Male,,Consulting,,Consulting,,11.95
Credit,2-year,2020,SPMI,,,,,1.0,,,1.0,,1.0,6.0,2.0,5.0,3.0,7.0,5.0,6.0,6.0,3.0,5.0,6.0,3.0,5.0,5.0,6.0,5.0,3.0,5.0,5.0,6.0,5.0,5.0,7.0,1.0,,1.0,,,,,1.0,,,,,1.0,,,1.0,,,,,1.0,,1.0,,,1.0,,1.0,,2.0,5.0,2.0,1.0,"1. Ensure the app is not duplicative of other services offered by CMC.
2. Make it a website rather than an app.
3. Work with professional clubs to customize based on career path.",domestic,Male,,Finance,,Consulting,,7.383333333333334
$10,2-year,2020,DTI,,,,,,1.0,,1.0,,1.0,4.0,2.0,1.0,1.0,1.0,4.0,1.0,4.0,3.0,5.0,1.0,1.0,6.0,6.0,6.0,4.0,4.0,5.0,7.0,2.0,6.0,5.0,1.0,,1.0,,,,,,1.0,,,,1.0,1.0,,,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,5.0,3.0,5.0,1.0,"-Have topical industry research
-Make it free. We are already paying 120k+ to Cornell. About time we actually got some value out of it.
-Make the app customizable for different students' needs (have a pre survey to gauge what type of assistance a student needs)",international,Male,,Consulting,,Consulting,,6.9
$10,2-year,2020,IRAM,1.0,,,1.0,,,,,1.0,,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,5.0,5.0,7.0,7.0,6.0,5.0,5.0,6.0,4.0,4.0,4.0,5.0,6.0,1.0,2.0,,,1.0,1.0,,,,1.0,,,,,1.0,,1.0,,1.0,,,,,1.0,,1.0,,,,1.0,,7.0,7.0,7.0,3.0,"1. Also integrate with JPay for offer/payment information
2. Have a chat function to communicate through the app with participants (may share similar questions comments)
3. integrate with outlook",domestic,Female,,Finance,,Finance,,4.033333333333333
Credit,2-year,2020,SPMI,1.0,,,1.0,1.0,,,,,,5.0,5.0,4.0,5.0,6.0,4.0,5.0,6.0,6.0,6.0,4.0,5.0,5.0,5.0,5.0,4.0,7.0,5.0,4.0,3.0,4.0,5.0,2.0,,1.0,1.0,,,1.0,,,,,,,1.0,,,,,,1.0,,1.0,1.0,,,,1.0,1.0,,,5.0,5.0,5.0,2.0,"Make it free. 
Allow people who have been offered interviews to breakout into company-specific group chats
Allow direct scheduling
",domestic,Male,,Education,,Marketing,,8.3
$10,AMBA,2020,cust/no,,,1.0,,,1.0,,1.0,,,4.0,6.0,5.0,7.0,6.0,5.0,3.0,5.0,3.0,4.0,5.0,6.0,3.0,4.0,5.0,3.0,6.0,7.0,6.0,6.0,6.0,4.0,6.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,1.0,,6.0,6.0,6.0,1.0,"1. View status with LAMP list companies against JTS invites
2. Build the LAMP LIST on basis of Jobs applied to- to help keep track
3. Pretty GUI please -grad leaders sucks",international,n/d,,Consulting,,Consulting,,15.266666666666667
Credit,2-year,2020,SPMI,1.0,,,1.0,,,,1.0,,,7.0,7.0,6.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,7.0,7.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,,,,,,,,,1.0,,,1.0,1.0,,,,,,,1.0,,,,1.0,1.0,1.0,,1.0,5.0,5.0,5.0,6.0,Can't think of anything right now,domestic,Male,,PM,,GM,,5.4
Credit,2-year,2021,SPMI,1.0,,1.0,,,,,1.0,,,5.0,4.0,3.0,2.0,5.0,3.0,6.0,2.0,3.0,3.0,7.0,7.0,5.0,6.0,7.0,5.0,6.0,2.0,4.0,5.0,5.0,2.0,1.0,,,,,,1.0,1.0,1.0,,,,,,1.0,,,,,1.0,,,,1.0,1.0,,1.0,,,1.0,5.0,4.0,7.0,1.0,"Make it free (or covered in our tuition), and make it easier to post interview questions and offers in JTS.",domestic,Female,,Sales,,HR,,8.183333333333334
$10,2-year,2020,DTI,,,,1.0,1.0,,1.0,,,,7.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,1.0,,,1.0,,,,1.0,,,,,1.0,,1.0,,1.0,,,,,,1.0,,,,1.0,1.0,,6.0,5.0,6.0,2.0,integration with LinkedIn profile and connections.,international,Female,,Engineering,,PM,,9.516666666666667
$10,AMBA,2020,cust/no,,,1.0,,,,1.0,1.0,,,6.0,6.0,5.0,5.0,5.0,6.0,5.0,6.0,7.0,6.0,6.0,4.0,4.0,6.0,4.0,6.0,4.0,5.0,6.0,4.0,7.0,7.0,5.0,1.0,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,6.0,5.0,7.0,4.0,"Ability to list faculty advisors for specific career paths, top alumni to reach out for interview prep with their calendars synced (1ce a week etc), list of h1b/ not h1b companies",international,Male,,Consulting,,Consulting,,8.466666666666667
$10,2-year,2021,SPMI,1.0,,,1.0,1.0,,,,,,6.0,7.0,6.0,7.0,7.0,6.0,4.0,6.0,3.0,5.0,4.0,4.0,5.0,5.0,7.0,4.0,4.0,2.0,4.0,7.0,5.0,2.0,2.0,1.0,,1.0,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,1.0,1.0,1.0,,1.0,,7.0,7.0,7.0,7.0,"a feature that measures tests your skill vs fit for a particular industry, job, function etc.",domestic,Female,,GM,,Marketing,,20.333333333333332
$10,2-year,2022,cust/no,1.0,1.0,,1.0,,,,,,,5.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,6.0,7.0,,1.0,,,1.0,,,1.0,1.0,,,,,,1.0,,1.0,1.0,,,1.0,,1.0,,,,,,,5.0,5.0,5.0,1.0,"a chat feature, to talk with other applicants
more practice interview options
contacts for specific alumni matching our background/career goals",dual,Female,,Creative,,Creative,,20.45
$10,AMBA,2020,cust/no,1.0,,,,,1.0,1.0,,,,5.0,6.0,3.0,6.0,5.0,7.0,3.0,6.0,5.0,6.0,4.0,4.0,7.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,1.0,,1.0,1.0,1.0,,1.0,,6.0,4.0,6.0,4.0,"- videos have to be real/authentic. No generic talks, real experience both positive and negative
- I would not call it an app but a ""module"" if it is in JTS
- track alumni in industries",international,Male,,GM,,Operations,,8.5
$10,AMBA,2020,cust/no,1.0,,,,1.0,,,,,1.0,6.0,7.0,5.0,5.0,3.0,6.0,6.0,6.0,6.0,6.0,7.0,5.0,4.0,6.0,4.0,7.0,5.0,6.0,5.0,6.0,5.0,4.0,3.0,,,,1.0,1.0,,,,,,1.0,1.0,,,1.0,,,1.0,,,,,,,,1.0,1.0,,1.0,7.0,6.0,7.0,2.0,"LinkedIn premium has videos explaining how to answer different PAR questions. It would be great if your app also contains tips on HOW to answer the questions, rather than simply listing the questions.",international,Female,,Finance,,Finance,,14.333333333333334
Credit,AMBA,2020,cust/no,,1.0,,,,1.0,1.0,,,,4.0,7.0,5.0,6.0,4.0,6.0,6.0,5.0,2.0,5.0,6.0,3.0,6.0,6.0,6.0,5.0,4.0,6.0,6.0,5.0,6.0,5.0,5.0,,,,1.0,,,,1.0,,,1.0,,,1.0,,,,,1.0,1.0,,1.0,,,,,1.0,1.0,,6.0,4.0,6.0,2.0,"Minimize the amount of administrative steps needed, simplify it as much as possible. potentially do linkedin /JC connect integration for ease of getting alumni info. can add functionalities to cater for international recruiting, work visa sponsor/not sponsor.",international,Female,,Consulting,,Consulting,,10.466666666666667
